rep,method,Source,p_real,text
5,baseline,Reuters,0.9978897,ট্রাম্প-বাইডেন দ্বৈরথে মেনথল সিগারেট কেন এত গুরুত্বপূর্ণ যুক্তরাষ্ট্রে আগামী নভেম্বরে অনুষ্ঠিত হতে যাচ্ছে প্রেসিডেন্ট নির্বাচন। সবকিছু ঠিক থাকলে এতে মুখোমুখি হবেন বর্তমান প্রেসিডেন্ট জো বাইডেন ও সাবেক
5,source_balanced,Reuters,0.99944323,ট্রাম্প-বাইডেন দ্বৈরথে মেনথল সিগারেট কেন এত গুরুত্বপূর্ণ যুক্তরাষ্ট্রে আগামী নভেম্বরে অনুষ্ঠিত হতে যাচ্ছে প্রেসিডেন্ট নির্বাচন। সবকিছু ঠিক থাকলে এতে মুখোমুখি হবেন বর্তমান প্রেসিডেন্ট জো বাইডেন ও সাবেক
7,baseline,Reuters,0.9841107,ট্রাম্প-বাইডেন দ্বৈরথে মেনথল সিগারেট কেন এত গুরুত্বপূর্ণ যুক্তরাষ্ট্রে আগামী নভেম্বরে অনুষ্ঠিত হতে যাচ্ছে প্রেসিডেন্ট নির্বাচন। সবকিছু ঠিক থাকলে এতে মুখোমুখি হবেন বর্তমান প্রেসিডেন্ট জো বাইডেন ও সাবেক
7,source_balanced,Reuters,0.9995409,ট্রাম্প-বাইডেন দ্বৈরথে মেনথল সিগারেট কেন এত গুরুত্বপূর্ণ যুক্তরাষ্ট্রে আগামী নভেম্বরে অনুষ্ঠিত হতে যাচ্ছে প্রেসিডেন্ট নির্বাচন। সবকিছু ঠিক থাকলে এতে মুখোমুখি হবেন বর্তমান প্রেসিডেন্ট জো বাইডেন ও সাবেক
8,baseline,Reuters,0.99659985,ট্রাম্প-বাইডেন দ্বৈরথে মেনথল সিগারেট কেন এত গুরুত্বপূর্ণ যুক্তরাষ্ট্রে আগামী নভেম্বরে অনুষ্ঠিত হতে যাচ্ছে প্রেসিডেন্ট নির্বাচন। সবকিছু ঠিক থাকলে এতে মুখোমুখি হবেন বর্তমান প্রেসিডেন্ট জো বাইডেন ও সাবেক
8,source_balanced,Reuters,0.99964225,ট্রাম্প-বাইডেন দ্বৈরথে মেনথল সিগারেট কেন এত গুরুত্বপূর্ণ যুক্তরাষ্ট্রে আগামী নভেম্বরে অনুষ্ঠিত হতে যাচ্ছে প্রেসিডেন্ট নির্বাচন। সবকিছু ঠিক থাকলে এতে মুখোমুখি হবেন বর্তমান প্রেসিডেন্ট জো বাইডেন ও সাবেক
4,baseline,bangla.aajtak,0.76660186,"ভারতের বিরুদ্ধে ভাই-ভাই পাকিস্তান-বাংলাদেশ, ইউনূস থাকতেই গোপন চুক্তির ফন্দি ইসলামাবাদের দক্ষিণ এশিয়ার ভূ-রাজনীতিতে নতুন ঘূর্ণাবর্ত? পাকিস্তান ও বাংলাদেশের মধ্যে প্রস্তাবিত এক গোপন প্রতিরক্ষা চুক্তিকে "
6,baseline,bangla.aajtak,0.93206686,"ভারতের বিরুদ্ধে ভাই-ভাই পাকিস্তান-বাংলাদেশ, ইউনূস থাকতেই গোপন চুক্তির ফন্দি ইসলামাবাদের দক্ষিণ এশিয়ার ভূ-রাজনীতিতে নতুন ঘূর্ণাবর্ত? পাকিস্তান ও বাংলাদেশের মধ্যে প্রস্তাবিত এক গোপন প্রতিরক্ষা চুক্তিকে "
6,source_balanced,bangla.aajtak,0.99589086,"ভারতের বিরুদ্ধে ভাই-ভাই পাকিস্তান-বাংলাদেশ, ইউনূস থাকতেই গোপন চুক্তির ফন্দি ইসলামাবাদের দক্ষিণ এশিয়ার ভূ-রাজনীতিতে নতুন ঘূর্ণাবর্ত? পাকিস্তান ও বাংলাদেশের মধ্যে প্রস্তাবিত এক গোপন প্রতিরক্ষা চুক্তিকে "
7,baseline,bangla.aajtak,0.74909896,"ভারতের বিরুদ্ধে ভাই-ভাই পাকিস্তান-বাংলাদেশ, ইউনূস থাকতেই গোপন চুক্তির ফন্দি ইসলামাবাদের দক্ষিণ এশিয়ার ভূ-রাজনীতিতে নতুন ঘূর্ণাবর্ত? পাকিস্তান ও বাংলাদেশের মধ্যে প্রস্তাবিত এক গোপন প্রতিরক্ষা চুক্তিকে "
7,source_balanced,bangla.aajtak,0.9953909,"ভারতের বিরুদ্ধে ভাই-ভাই পাকিস্তান-বাংলাদেশ, ইউনূস থাকতেই গোপন চুক্তির ফন্দি ইসলামাবাদের দক্ষিণ এশিয়ার ভূ-রাজনীতিতে নতুন ঘূর্ণাবর্ত? পাকিস্তান ও বাংলাদেশের মধ্যে প্রস্তাবিত এক গোপন প্রতিরক্ষা চুক্তিকে "
9,source_balanced,bangla.aajtak,0.586709,"ভারতের বিরুদ্ধে ভাই-ভাই পাকিস্তান-বাংলাদেশ, ইউনূস থাকতেই গোপন চুক্তির ফন্দি ইসলামাবাদের দক্ষিণ এশিয়ার ভূ-রাজনীতিতে নতুন ঘূর্ণাবর্ত? পাকিস্তান ও বাংলাদেশের মধ্যে প্রস্তাবিত এক গোপন প্রতিরক্ষা চুক্তিকে "
5,baseline,boombd.com,0.50740635,"সলমনকে ‘সন্ত্রাসবাদী’ তকমা পাকিস্তানের! বালোচিস্তানকে ভিন্ন দেশ হিসেবে উল্লেখ করেছিলেন সলমন খান। ইচ্ছাকৃত ভুল, না কি অজান্তেই এমন বলেছিলেন, তা নিয়ে প্রশ্ন ওঠে। তবে সেই বেফাঁস মন্তব্যের জন্য এ বার পাকি"
6,baseline,boombd.com,0.67307013,"সলমনকে ‘সন্ত্রাসবাদী’ তকমা পাকিস্তানের! বালোচিস্তানকে ভিন্ন দেশ হিসেবে উল্লেখ করেছিলেন সলমন খান। ইচ্ছাকৃত ভুল, না কি অজান্তেই এমন বলেছিলেন, তা নিয়ে প্রশ্ন ওঠে। তবে সেই বেফাঁস মন্তব্যের জন্য এ বার পাকি"
