text,label
ভারতের শাসক গোষ্ঠী বিভাজনের রাজনীতি ও বাংলাদেশবিরোধী বক্তব্যে লিপ্ত মন্তব্য করে তথ্য ও সম্প্রচার মন্ত্রণালয়ের উপদেষ্টা নাহিদ ইসলাম বলেছেন জুলাইআগস্টে বাংলাদেশে ছাত্রজনতার আন্দোলনের সময় কলকাতা ও দিল্লির ছাত্ররা আমাদের সঙ্গে একাত্মতা প্রকাশ করে শেখ হাসিনার নৃশংসতার বিরুদ্ধে প্রতিবাদ জানায় ভারতের এই গণতন্ত্রপ্রিয় মানুষ আমাদের বন্ধু তবে ভারতের শাসকগোষ্ঠী এবং হিন্দুত্ববাদী শক্তিরা এ ধরনের গণতান্ত্রিক সম্পর্ক ও সম্প্রীতি চায় না তারা বাংলাদেশের অভ্যুত্থান এবং এর ছাত্রদের রাজনৈতিক জাগরণকে হুমকি হিসেবে দেখে ফলে তারা বাংলাদেশের বিরুদ্ধে বিদ্বেষ পোষণ করছে আজ মঙ্গলবার সামাজিক যোগাযোগমাধ্যম এক্সএ নিজের ভেরিফাইড পেজে এ সংক্রান্ত পোস্ট দেন সেখানে তিনি উল্লেখ করেন পশ্চিমবঙ্গ ত্রিপুরা এবং আসামের সঙ্গে বাংলাদেশের ঐতিহাসিক ও সাংস্কৃতিক সম্পর্ক রয়েছে তবে সংখ্যালঘু নিপীড়ন টার্ম ব্যবহার করে দিল্লি ফ্যাসিবাদী আওয়ামী লীগকে পুনর্বাসন এবং বাংলাদেশের গণতান্ত্রিক ও জাতিপুনর্নির্মাণ প্রক্রিয়াকে ব্যাহত করার চেষ্টা করছে তথ্য উপদেষ্টা আরও বলেন শুরু থেকেই আমরা জোর দিয়ে আসছি যে ভারত সরকারকে বাংলাদেশকে আওয়ামী লীগের দৃষ্টিতে দেখা বন্ধ করতে হবে এবং ন্যায় ন্যায্যতা ও পারস্পরিক শ্রদ্ধার ভিত্তিতে একটি নতুন সম্পর্ক স্থাপন করতে হবে বাংলাদেশ হিন্দুসহ সকল সংখ্যালঘু সম্প্রদায়ের জন্য পূর্ণ নাগরিকত্বের অধিকার মর্যাদা এবং নিরাপত্তা নিশ্চিত করতে প্রতিশ্রুতিবদ্ধ সরকার আওয়ামী লীগের আমলেই সংখ্যালঘুরা সর্বোচ্চ নিপীড়নের সম্মুখীন হয়েছিল তবুও দিল্লি নিঃশর্তভাবে আওয়ামী লীগকে সমর্থন করেছিল যদিও ভারত তার নিজ দেশের সংখ্যালঘুদের অধিকার নিশ্চিত করতে ব্যর্থ হয়েছে তারা বাংলাদেশে সংখ্যালঘুদের নিপীড়নকারী দল আওয়ামী লীগকে আশ্রয় ও সমর্থন দিয়েছে তিনি আরও জানান গণহত্যা ও শিশু হত্যার জন্য দায়ী পলাতক শেখ হাসিনাকে আশ্রয় ও ধারাবাহিক সহায়তা অব্যাহত রেখে ভারত সরকার গণতান্ত্রিক মূল্যবোধকে ক্ষুণ্ণ করার ঝুঁকিতে রয়েছে ভারতের স্থিতিশীলতা ও অখণ্ডতা বাংলাদেশের স্থিতিশীলতা ও অখণ্ডতার সঙ্গে ওতপ্রোতভাবে জড়িত তা ভুলে গেলে চলবে না তথ্য উপদেষ্টা নাহিদ বলেন ক্ষমতাসীন বিজেপি বাংলাদেশকে ভারতের অভ্যন্তরীণ রাজনৈতিক ইস্যুতে পরিণত করার চেষ্টা করছে এমনটা হলে তা ভারতের অভ্যন্তরীণ রাজনীতির জন্য ক্ষতিকর হবে বাংলাদেশবিরোধী ও মুসলিমবিরোধী রাজনীতি ভারতের জাতীয় স্বার্থে কাজ করবে না তাই আমরা ভারতকে বাংলাদেশের বিরুদ্ধে মিথ্যা অপপ্রচার বন্ধ করে গণতন্ত্রের প্রতি সম্প্রীতি ও সম্মান বজায় রাখার আহ্বান জানাই,0
বারডেম জেনারেল হাসপাতালের নিবিড় পরিচর্যা কেন্দ্রে আইসিইউ চিকিৎসাধীন অভিনেতা এস এম মহসিনের শারীরিক অবস্থার অবনতি হয়েছে গতকাল বৃহস্পতিবার তাঁকে এক ব্যাগ এ পজিটিভ প্লাজমা দেওয়া হয়েছে আরও লাগবে অবস্থা সংকটাপন্ন বলে জানিয়েছে চিকিৎসকরা এদিকে বাবা এস এম মহসিনের অবস্থা দেখে চিন্তায় আছেন ছেলে রেজওয়ান মহসিন তিনি বলেন করোনা পরীক্ষার ফল পজিটিভ পাওয়ার পর থেকেই হঠাৎ বাবার শারীরিক অবস্থার অবনতি হতে থাকে আইসিইউ সেবা পেতে হলি ফ্যামিলি হাসপাতাল থেকে তাঁকে তেজগাঁওয়ের একটি হাসপাতালে নেওয়া হয় পরিস্থিতির আরও অবনতি হলে ৭ এপ্রিল রাতে ঢাকার বারডেম হাসপাতালে ভর্তি করানো হয় বাবার ফুসফুসের সংক্রমণটা বেশি এটা নিয়েই বেশি চিন্তার মধ্যে আছি বাবাকে এখন ঘণ্টায় ১৫ লিটার করে অক্সিজেন দেওয়া হচ্ছে কিন্তু অক্সিজেন স্যাচুরেশন মাঝেমধ্যে ৯০এর নিচে নেমে যাচ্ছে সবাই আমার বাবার জন্য দোয়া করবেন,1
ঘুমের সমস্যাটি প্রকট হয়েছে করোনা মহামারির সময় গবেষণায়ও দেখা গেছে মানুষের ঘুম কমেছে করোনাকালে ২০২৩ সালে বিশ্বখ্যাত নেচার সাময়িকীর সায়েন্টেফিক রিপোর্টে বাংলাদেশের মানুষের ঘুম নিয়ে একটি গবেষণা প্রবন্ধ ছাপা হয়েছে ২০২০ সালের এপ্রিল মাসে ৯ হাজার ৭৩০ জনের ঘুমের তথ্য সংগ্রহ করা হয়েছিল তাতে দেখা গেছে কম সময় ঘুমানো মানুষের সংখ্যা বেড়েছে তবে স্বাভাবিক জীবনযাপন করতে হলে পর্যাপ্ত ঘুমের বিকল্প নেই জেনে নিন কী করলে ভালো ঘুম হবে ১ শোবার ঘর ঘুমানোর জন্য শোবার ঘরের আয়োজন যথাযথ হওয়া খুবই জরুরি শোবার ঘরে চাই নীরবতা শান্তি আর অন্ধকার খেয়াল রাখতে হবে যাতে বাইরের আলো না আসে এবং ঘরের সব আলো নিভিয়ে রাখা যায় আলো ও শব্দের পাশাপাশি শোবার ঘরের পরিষ্কারপরিচ্ছন্নতাটাও খুব জরুরি বিছানাবালিশ আর ঘুমাতে যাওয়ার পোশাকআশাক যতটা সম্ভব পরিচ্ছন্ন ও আরামদায়ক হওয়া চাই ২ ঘুমের রুটিন আসলে ঘুমের রুটিন ঠিক করতে হলে পুরো দিনের রুটিনটাই ঠিকঠাক মেনে চলতে হবে তার পরও দিন যেভাবেই কাটুক না কেন প্রতি রাতে একই সময়ে ঘুমাতে যাওয়ার অভ্যাস করাটা খুবই জরুরি পাশাপাশি প্রতি রাতেই ঘুমাতে যাওয়ার আগে পড়া হালকা গান শোনা বা এমন নির্দিষ্ট অভ্যাস তৈরি করতে পারলে আরও ভালো ঘুমানোর এই প্রস্তুতিগুলো মস্তিষ্ককে ঘুমানোর সংকেত পাঠাতে থাকে ৩ আসক্তি ছাড়ুন ঠান্ডা থাকুন ঘুমাতে যাওয়ার জন্য শরীরকে প্রস্তুত করতে হলে অ্যালকোহল এমনকি ক্যাফেইনের মতো উত্তেজনা সৃষ্টিকারী বিষয়গুলোকে এড়িয়ে চলতে হবে কেননা এগুলোর প্রভাব না কাটিয়ে ঘুমানো যায় না আর ঘুমানোর জন্য ঘরের তাপমাত্রার মতোই শরীরের তাপমাত্রা নিয়ন্ত্রণ করতে পারাটা জরুরি একটু ঠান্ডা ঠান্ডা ঘরে ঘুম ভালো হয় আর শরীর ঠান্ডা রাখতে রাতে কম ক্যালরিযুক্ত খাবারদাবার খাওয়া ভালো ৪ ব্যায়াম ও গোসল প্রতিদিন হালকা ব্যায়ামের অভ্যাস করতে পারা মানসিক চাপ কমায় এবং শরীরে প্রশান্তি আনে এটা ঘুমের জন্য ভালো তবে ব্যায়ামে যেহেতু শরীরের তাপমাত্রা বেড়ে যায় তাই রাতের বদলে দিনে ব্যায়ামের অভ্যাসটাই ভালো আর রাতে ঘুমাতে যাওয়ার তিনচার ঘণ্টা আগে হালকা গরম পানিতে গোসল করতে পারলে খুবই ভালো এতে যদিও প্রথমে শরীরের তাপ একটু বাড়ে কিন্তু ধীরে ধীরে তাপ কমে এলে শরীরে প্রশান্তি আসে এবং তা ঘুমাতে সাহায্য করে আরও কিছু বিষয় নিয়মিত এসব অভ্যাস মেনে চলার পাশাপাশি নিজেকে নিজের দেহমন সম্পর্কে আরও জানার চেষ্টা করুন কিছু যোগাসন মেডিটেশন বা ধ্যান এবং গভীরভাবে শ্বাসপ্রশ্বাস নেওয়ার অভ্যাস রপ্ত করতে পারেন প্রয়োজনে আলো থেকে রেহাই পেতে চোখ ঢেকে রাখার কাপড়ের আইশেড বাড়তি শব্দ থেকে রেহাই পেতে কানে ইয়ারপ্লাগ ব্যবহারের মতো টোটকার আশ্রয় নিন আর সবচেয়ে জরুরি হলো ঘুমাতে যাওয়ার সময় জীবন সম্পর্কে ইতিবাচক চিন্তা করা সুখ আর আনন্দের স্মৃতি রোমন্থন করা সুন্দরভাবে সকাল শুরু করে একটা ভালো দিন কাটানোর জন্য নিজেকে মানসিকভাবে প্রস্তুত করা,0
জাতীয় সংসদের স্পিকারের অবর্তমানে তাঁর প্রশাসনিক ও আর্থিক দায়িত্ব পালন করবেন অন্তর্বর্তী আইন বিচার ও সংসদ বিষয়ক উপদেষ্টা অধ্যাপক আসিফ নজরুল আজ বৃহস্পতিবার উপদেষ্টা পরিষদের বৈঠকে জাতীয় সংসদ সচিবালয় অন্তর্বর্তী বিশেষ বিধান অধ্যাদেশ২০২৪ এর খসড়া অনুমোদন দেওয়া হয়েছে সেখানেই এই বিষয়টি রয়েছে রাষ্ট্রপতি অধ্যাদেশটি জারি করলে আইন উপদেষ্টা এই দায়িত্ব পালন করবেন তেজগাঁওয়ে প্রধান উপদেষ্টার কার্যালয়ে উপদেষ্টা পরিষদের বৈঠকে সভাপতিত্ব করেন প্রধান উপদেষ্টা ড মুহাম্মদ ইউনূস বৈঠক শেষে প্রধান উপদেষ্টার প্রেস উইং থেকে বৈঠকের সিদ্ধান্তগুলো জানানো হয় এ ছাড়া সন্ধ্যায় রাজধানীর ফরেন সার্ভিস একাডেমিতে আয়োজিত সংবাদ সম্মেলনেও এই বিষয়টি তুলে ধরেন প্রধান উপদেষ্টার প্রেস সচিব শফিকুল আলম উপদেষ্টা পরিষদের বৈঠকে জাতীয় সংসদ সচিবালয় অন্তর্বর্তী বিশেষ বিধান অধ্যাদেশ২০২৪ এর খসড়া অনুমোদন দেওয়া হয়েছে খসড়ায় বলা হয়েছে অন্তর্বর্তী সময়ের জন্য সংসদ সচিবালয়ের সব ধরনের প্রশাসনিক ও আর্থিক ক্ষমতা যেমন পদ সৃজন ও বিলুপ্তি কর্মকর্তা ও কর্মচারীদের সংখ্যা নির্ধারণ ও হ্রাসবৃদ্ধি বার্ষিক বাজেট প্রণয়ন তৃতীয় ও তদূর্ধ্ব গ্রেডে পদোন্নতি নিয়োগ বিধিমালা সংশোধন সংক্রান্ত যাবতীয় বিষয়সহ অন্যান্য সব বিষয় সংবিধানের অনুচ্ছেদ ৭৪ অনুযায়ী সংসদ কার্য সংক্রান্ত দায়িত্ব ব্যতীত সংসদ বিষয়ক উপদেষ্টার আসিফ নজরুল ওপর ন্যস্ত করা হয়েছে অন্যান্য আর্থিক ও প্রশাসনিক ক্ষমতা সংসদ সচিবালয়ের সচিবকে দেওয়ার প্রস্তাব করা হয়েছে খসড়ায় আইনের খসড়ায় সংসদ বিষয়ক উপদেষ্টাকে চেয়ারম্যান করে একটি অন্তর্বর্তীকালীন সংসদ সচিবালয় কমিশন গঠনেরও প্রস্তাব করা হয়েছে উল্লেখ্য জাতীয় সংসদ সচিবালয়ের বিদ্যমান আইন অনুযায়ী জাতীয় সংসদ সচিবালয়ের কিছু দায়িত্ব যেমন পদ সৃজন ও বিলুপ্তি কর্মকর্তা ও কর্মচারীদের সংখ্যা নির্ধারণ ও হ্রাসবৃদ্ধি বার্ষিক বাজেট প্রণয়ন ইত্যাদি সংসদ সচিবালয় কমিশনের সঙ্গে পরামর্শ করে স্পিকার পালন করে থাকেন এই অধ্যাদেশের উদ্যোগের কারণ হিসেবে বলা হয়েছে ছাত্রজনতার গণঅভ্যুত্থানের মুখে তৎকালীন প্রধানমন্ত্রী শেখ হাসিনা গত ৫ আগস্ট দেশ ত্যাগ করায় রাষ্ট্রপতি দ্বাদশ জাতীয় সংসদ ভেঙে দেন পরে দ্বাদশ জাতীয় সংসদের স্পিকার শিরীন শারমিন চৌধুরীও পদত্যাগ করেন স্পিকারের অবর্তমানে সংসদ সচিবালয়ের দৈনন্দিন প্রশাসনিক ও আর্থিক কাজসহ অন্যান্য বিষয়ে সমস্যা সৃষ্টি হচ্ছে প্রসঙ্গত আইনানুযায়ী সংসদের স্পিকার সংসদ সচিবালয়ের প্রশাসনিক প্রধান বাসসের খবরে বলা হয় সাংবাদিকদের এক প্রশ্নের উত্তরে প্রেস সচিব শফিকুল আলম বলেন তৈরি পোশাকখাতের শ্রমিকেরা যে আন্দোলন করছে সেটাকে সরকার কোনো ষড়যন্ত্র হিসেবে দেখছে না দেশে গণঅভুত্থানের পরে অনেক কারখানার মালিক পালিয়ে গেছেন ফলে ওইসব কারখানা বেতন দিতে পারছে না সেখানে আন্দোলন হচ্ছে আগেও এরকম কিছু কারখানায় আন্দোলন চলতো এই আন্দোলনকে সরকার কোনো ধরনের অস্থিতিশীলতা তৈরির চেষ্টা হিসেবে দেখছে না বলে তিনি উল্লেখ করেন শফিকুল আলম জানান এই মুহূর্তে তৈরি পোশাকখাতের ৯৯ শতাংশ কারখানা চালু আছে,1
আগামী সপ্তাহেই মঙ্গোলিয়া সফর করবেন রাশিয়ার প্রেসিডেন্ট ভ্লাদিমির পুতিন তবে মঙ্গোলিয়া সফরে গেলে দেশটি পুতিনকে গ্রেপ্তার করতে দায়বদ্ধ বলে জানিয়েছে আন্তর্জাতিক অপরাধ আদালত আইসিসি শুক্রবার বিবিসি জানিয়েছে আগামী মঙ্গলবার মঙ্গোলিয়ায় যাওয়ার সম্ভাবনা রয়েছে পুতিনের এমন হলে ২০২৩ সালের মার্চে পুতিনকে গ্রেপ্তারের আদেশ দেওয়ার পর এটাই হবে আইসিসি সদস্যভুক্ত কোনো রাষ্ট্রে তার প্রথম সফর আন্তর্জাতিক অপরাধ আদালত পুতিনকে যুদ্ধাপরাধের জন্য অভিযুক্ত করেছেন এই অভিযোগের বিষয়ে বলা হয়েছে২০২২ সালের ফেব্রুয়ারিতে ইউক্রেনের সঙ্গে যুদ্ধ শুরুর পর দেশটি থেকে অসংখ্য শিশুকে বেআইনিভাবে রাশিয়ায় নিয়ে যাওয়ায় দায় রয়েছে পুতিনের এ অবস্থায় পুতিনের সম্ভাব্য সফরকে সামনে রেখে তাঁকে গ্রেপ্তারের বিষয়টি মঙ্গোলিয়াকে বারবার স্মরণ করিয়ে দিচ্ছে ইউক্রেন তবে পুতিন দপ্তর ক্রেমলিন বলছে এই সফর নিয়ে তাদের কোনো উদ্বেগ নেই রাশিয়ার রাজধানী মস্কোতে ক্রেমলিনের মুখপাত্র দিমিত্রি পেসকভ এ বিষয়ে সাংবাদিকদের বলেছেন মঙ্গোলিয়ায় আমাদের অংশীদারদের সঙ্গে আমাদের চমৎকার সম্পর্ক রয়েছে পুতিনের সফরের সমস্ত দিক নিয়ে রাশিয়া খুব সাবধানতা অবলম্বন করছে বলেও জানান পেসকভ আন্তর্জাতিক অপরাধ আদালতের সদস্যভুক্ত একটি রাষ্ট্রে গ্রেপ্তারের পরোয়ানা না করে পুতিন কীভাবে সফর করবেনবিষয়টি জানতে এই আদালতের শরণাপন্ন হয়েছিল বিবিসি এ বিষয়ে আদালতের মুখপাত্র ডক্টর ফাদি আলআবদুল্লাহ বিবিসিকে জানান আদালত তাঁর সিদ্ধান্ত কার্যকর করতে মঙ্গোলিয়াসহ অন্যান্য সদস্য রাষ্ট্রের ওপর নির্ভর করে তিনি বলেন অন্যান্য আইসিসি স্বাক্ষরকারী রাষ্ট্রের মতো মঙ্গোলিয়ারও সহযোগিতা করার বাধ্যবাধকতা রয়েছে ২০২৩ সালে পুতিনকে গ্রেপ্তারে যে আদেশ জারি হয়েছিল সেটিও এই বাধ্যবাধকতার মধ্যে রয়েছে আন্তর্জাতিক অপরাধ আদালত ইউক্রেন থেকে শিশুদের রাশিয়ায় নিয়ে যাওয়ার অভিযোগে পুতিন ছাড়াও রাশিয়ার শিশুদের অধিকার কমিশনার মারিয়া লভোভাবেলোভার বিরুদ্ধে গ্রেপ্তারের পরোয়ানাও জারি করেছে তবে ইতিপূর্বে মস্কো এই অভিযোগ অস্বীকার করেছে এবং গ্রেপ্তারের পরোয়ানাটিকে আক্রোশের কারণে বলে চিহ্নিত করেছে আইসিসি মুখপাত্র ডক্টর আবদুল্লাহ জানিয়েছেন সদস্য রাষ্ট্রগুলো কোনো বিষয়ে অসহযোগিতা করলে আদালতের বিচারকেরা তা খতিয়ে দেখবেন এবং সেই রাষ্ট্রের পরিষদকে অবহিত করবেন আন্তর্জাতিক বিচারকার্য পরিচালনা করলেও আইসিসির নিজস্ব কোনো বাহিনী নেই ফলে কোনো অভিযুক্তকে সরাসরি গ্রেপ্তারের উপায় নেই এই আদালতের এ ক্ষেত্রে শুধু সদস্য দেশগুলোই অভিযুক্ত ব্যক্তিকে গ্রেপ্তার করে আদালতের কাছে তুলে দিতে পারে পুতিনের সফরের বিষয়ে ইউক্রেনের পররাষ্ট্র মন্ত্রণালয় বলেছে তারা আশা করেপুতিন যে একজন যুদ্ধাপরাধী এই সত্যটি সম্পর্কে মঙ্গোলিয়া সচেতন তাই সফরে গেলে পুতিনকে গ্রেপ্তার করে নেদারল্যান্ডসে অবস্থিত আন্তর্জাতিক অপরাধ আদালতের কাছে হস্তান্তর করার আহ্বান জানিয়েছে ইউক্রেন এর আগে গত বছর গ্রেপ্তারের পরোয়ানা থাকায় দক্ষিণ আফ্রিকায় নির্ধারিত একটি শীর্ষ সম্মেলনের সফর বাতিল করেছিলেন পুতিন,1
লাউ মূলত গ্রীষ্মকালীন সবজি লাউ খেলে পেট ঠান্ডা থাকে এছাড়াও নানা স্বাস্থ্য উপকারিতা পাওয়া যায় তবে শীতের বাজারেও লাউ পাওয়া যায় এই সময়ে লাউ খেলেও স্বাস্থ্য উপকারিতা মেলে যেমন ১ শীতে অনেকের পেটে নানা রকম সমস্যা হয় কোষ্ঠকাঠিন্য গ্যাসের সমস্যায় লাউ অত্যন্ত ভালো কাজ করে নিয়মিত লাউ খেলে পেটের এই সমস্যা কমে ২ রক্তে কোলেস্টেরলের মাত্রা কমাতেও লাউ কার্যকরী যারা কোলেস্টেরলের সমস্যায় ভুগছেন তারাও শীতকালে লাউ খেতে পারেন ৩ যারা ডায়াবেটিসের সমস্যায় ভুগছেন তারা সারা বছরই প্রতিদিনের খাদ্যতালিকায় লাউয়ের বিভিন্ন পদ রাখতে পারেন ৫ শীতে অনেকের শরীরচর্চার ইচ্ছা কমে যায় তাই অনেকেরই এই সময়ে ওজন বাড়ে ওজন কমাতেও সাহায্য করে লাউ শীতকালে নিয়মিত লাউ খেলে ওজন নিয়ন্ত্রণে থাকে,0
চট্টগ্রাম বিশ্ববিদ্যালয়ের চবি ২০২৩২৪ শিক্ষাবর্ষের বিজ্ঞান ইউনিটের প্রথম বর্ষ স্নাতক ভর্তি পরীক্ষার ফলাফল শুক্রবার ৮ মার্চ বিকাল ৫টায় প্রকাশিত হয়েছে এতে পাস করেছেন ৪০ হাজার ৮৬৬ জন পরীক্ষার্থী পাসের হার ৫২ দশমিক ৮৯ শতাংশ বিষয়টি নিশ্চিত করেছেন ইঞ্জিনিয়ারিং অনুষদের ডিন অধ্যাপক ড রাশেদ মোস্তফা গত শনিবার ২ মার্চ অনুষ্ঠিত হওয়া বিজ্ঞান ইউনিটের ভর্তি পরীক্ষায় অংশগ্রহণ করেন ৭৭ হাজার ২৫৯ জন এর মধ্যে পাস করেছেন ৪০ হাজার ৮৬৬ জন এবং অকৃতকার্য হয়েছেন ৩৬ হাজার ৩৯৩ জন পাসের হার ৫২৮৯ সর্বোচ্চ নম্বর ১১০ ও সর্বনিম্ন নম্বর ৫২৪৬ ভর্তি পরীক্ষার ফলাফল চট্টগ্রাম বিশ্ববিদ্যালয়ের ফেসবুক পেজের  মাধ্যমে প্রকাশ করা হয়েছে তবে পরীক্ষার্থী বিশ্ববিদ্যালয়ের ওয়েবসাইটের মাধ্যমে ভর্তি পরীক্ষার আইডি লগইন করে ফলাফল জানতে পারবে,0
পুঁজিবাজারে তালিকাভুক্ত ব্যাংকিং খাতের প্রতিষ্ঠান সিটি ব্যাংক তাদের শেয়ারহোল্ডারদের জন্য ২০২৩ সালে ২৫ শতাংশ লভ্যাংশ অনুমোদন করেছে এর মধ্যে ১৫ শতাংশ নগদ ও ১০ শতাংশ স্টক লভ্যাংশ রয়েছে বৃহস্পতিবার ৩০ মে ভার্চুয়ালি অনুষ্ঠিত ৪১তম বার্ষিক সাধারণ সভায় এজিএম এ লভ্যাংশ অনুমোদন হয় সভায় সভাপতিত্ব করেন ব্যাংকের পরিচালনা পর্ষদের চেয়ারম্যান আজিজ আল কায়সার এ সময় ব্যাংকের ভাইস চেয়ারম্যান হোসেন খালেদ পরিচালক রুবেল আজিজ হোসেন মেহমুদ সৈয়দা শায়রীন আজিজ সাভেরা এইচ মাহমুদ রেবেকা ব্রোসন্যান স্বতন্ত্র পরিচালক সেলিম মাহমুদ ও মতিউল ইসলাম নওশাদ ব্যবস্থাপনা পরিচালক ও সিইও মাসরুর আরেফিন কোম্পানি সেক্রেটারি মো কাফি খান পদস্থ কর্মকর্তা ও বিপুল সংখ্যক শেয়ারহোল্ডার যুক্ত ছিলেন ২০২৩ সালে ব্যাংকের ৬৩৮ কোটি টাকার সমন্বিত কর পরবর্তী মুনাফার প্রশংসা করে ব্যাংকের চেয়ারম্যান আজিজ আল কায়সার বলেন তার আগের বছরের ৪৭৮ কোটি টাকা থেকে মুনাফার এই ৩৩৫ শতাংশ প্রবৃদ্ধি সিটি ব্যাংকের শক্ত অর্থনৈতিক ভিত্তি ও সুশাসনের স্মারক তিনি আরও বলেন ব্যাংকের মোট চলতি ও সঞ্চয়ী আমানত বেড়ে ২০২৩এর ডিসেম্বরে এসে দাঁড়িয়েছে মোট আমানতের ৫১ শতাংশে যা ৪ বছর আগেও ছিল মাত্র ৩৬ শতাংশ তিনি সিটি ব্যাংকের ডিজিটাল ব্যাংক প্ল্যাটফর্ম সিটিটাচএর প্রবল জনপ্রিয়তার কথা উল্লেখ করে জানান ২০২৩ সালে গ্রাহকেরা সিটিটাচএ ৬০০০০ কোটি টাকার বেশি লেনদেন করেছেন যা চলতি বছরে ১ লাখ কোটি টাকা ছাড়াবে সভায় ব্যাংকের ব্যবস্থাপনা পরিচালক এবং সিইও মাসরুর আরেফিন প্রতিষ্ঠানের সার্বিক চিত্র শেয়ারহোল্ডারদের কাছে তুলে ধরে তাদের উত্থাপিত নানা প্রশ্নের উত্তর দেন,1
দুর্গাপূজাকে সামনে রেখে সারাদেশে সেনা মোতায়েন করা হয়েছে সবাইকে নির্ভয়ে পূজামণ্ডপে যাওয়ার আহ্বান জানিয়েছেন সেনাবাহিনীর প্রধান জেনারেল ওয়াকারউজজামান শনিবার ৫ অক্টোবর বিকেলে ঢাকেশ্বরী জাতীয় মন্দির পরিদর্শন শেষে সাংবাদিকদের সঙ্গে আলাপকালে এ আহ্বান জানান সেনাপ্রধান ওয়াকারউজজামান বলেন আমরা মাঠে আছি আপনারা নির্ভয়ে পূজামণ্ডপে যাবেন আমরা একটা সুন্দর পরিবেশ চাই যেখানে আপনারা সবাই পূজা উদযাপন করতে পারবেন তিনি আরও বলেন এ দেশে সবার সম অধিকার রয়েছে যার যার ধর্ম সে সে পালন করবে এর জন্য যা যা দরকার করা হবে,1
করোনা সংক্রমণের সংখ্যা দিন দিনই বাড়ছে বিশেষজ্ঞদের মতে করোনার নতুন স্ট্রেনের হাত থেকে বাঁচতে হলে সঠিক পদ্ধতিতে মাস্ক পরা ভিড় এড়িয়ে চলা এবং পরিচ্ছন্নতা মেনে চলা জরুরি তবে অনেকেই মাস্ক পরতে গিয়ে নিয়ম মানছেন না অনেকেই পুরনো আলগা নোংরা হয়ে যাওয়া মাস্ক পরে বাইরে যাচ্ছেন বিশেষজ্ঞরা বলছেন মাস্ক পরার ক্ষেত্রে কিছু নিয়ম মানা জরুরি যেমন ১ মাস্ক এমনভাবে পরুন যাতে মুখ ও নাক সম্পূর্ণভাবে ঢাকা পরে মাস্ক পরে যদি শুধু নাক বা মুখের কোনও একটা খোলা থাকে তাহলে মাস্ক পরার কোনও উপযোগিতা থাকে না খেয়াল রাখবেন মাস্ক যেন নাকের ওপর থেকে শুরু করে গোটা মুখ ভালো ভাবে ঢাকতে পারে তাই মাস্ক কেনার সময় সেটি কতটা চওড়া তা ভালো করে দেখে তবেই কিনবেন বাজারে যেসব সার্জিক্যাল মাস্ক পাওয়া যায় তা এক লেয়ারের মহামারির এ সময়ে তা মোটেও উপযোগী নয় অন্তত তিন লেয়ারের মাস্ক ব্যবহার করা উচিত ২ মুখের থেকে ঢিলে মাস্ক ব্যবহার করবেন না মাস্ক ঢিলে হলে তা ঠিক করতে বারবার মুখে হাত দিতে হবে এতে হাতের ধুলো ময়লা মাস্কে লেগে যাওয়ার আশঙ্কা থাকে ৩ সুতির কাপড়ের তৈরি মাস্ক তাড়াতাড়ি ছিঁড়ে যায় রঙ হালকা হয়ে গেলে ও মাস্কে ছোট থেকে বড় ফুটো দেখা দিলে সঙ্গে সঙ্গে সেই মাস্ক ডাস্টবিনে ফেলে দিন ফুটো দেখা দিলে সেই মাস্ক না পরাই ভালো কারণ করোনার সঙ্গে সঙ্গে বাতাসে থাকা অন্যান্য ভাইরাসও আক্রমণ করতে পারে ৪ মাস্ক এখন বাধ্যতামূলক মাস্ক পরে যদি ত্বকে নানা সমস্যা যেমন ব্রণ র্যাশ চুলকানি ফুলে ওঠার মতো সমস্যা হয় তাহলে দ্রুত মাস্ক পরিবর্তন করা উচিত ৫ মাস্ক যদি পরিষ্কার করা যায় তাহলে অবশ্যই ধুয়ে শুকিয়ে তারপর পরা উচিত গবেষণা বলছে করোনা পরিস্থিতিতে সঠিক মাস্ক পরলে প্রায় ৭০ শতাংশ করোনা হওয়ার ঝুঁকি কমে শুধু পরলেই হবে না সেটি ঠিকসময়ে ফেলেও দিতে হবে ৬ মাস্ক পরে অস্বস্তি হলে অবশ্যই সেই মাস্ক এড়িয়ে চলুন আবার ঘন্টার পর ঘন্টা একই মাস্ক পরে থাকলে অস্বস্তি তৈরি হয় এতে শ্বাসপ্রশ্বাসে ব্যাঘাত ঘটে তাই মাস্ক বদলানো প্রয়োজন ৭ মাস্কের নোজ ক্লিপ আলগা হয়ে গেলে সেই মাস্ক দ্রুত পাল্টে ফেলুন এ ছাড়া কানে লাগানোর ইলাস্টিক বা কাপড় যদি আলগা হয়ে যায় তাহলে বুঝতে হবে মাস্ক পরিবর্তন করার সময় এসেছে,0
