Source,text,sum_baseline,sum_source_balanced,count_baseline,count_source_balanced
Reuters,ট্রাম্প-বাইডেন দ্বৈরথে মেনথল সিগারেট কেন এত গুরুত্বপূর্ণ যুক্তরাষ্ট্রে আগামী নভেম্বরে অনুষ্ঠিত হতে যাচ্ছে প্রেসিডেন্ট নির্বাচন। সবকিছু ঠিক থাকলে এতে মুখোমুখি হবেন বর্তমান প্রেসিডেন্ট জো বাইডেন ও সাবেক,3,3,3,3
bangla.aajtak,"ভারতের বিরুদ্ধে ভাই-ভাই পাকিস্তান-বাংলাদেশ, ইউনূস থাকতেই গোপন চুক্তির ফন্দি ইসলামাবাদের দক্ষিণ এশিয়ার ভূ-রাজনীতিতে নতুন ঘূর্ণাবর্ত? পাকিস্তান ও বাংলাদেশের মধ্যে প্রস্তাবিত এক গোপন প্রতিরক্ষা চুক্তিকে ",3,3,4,4
boombd.com,ক্রিকেট বিশ্বকাপের পর শাকিবকে আক্রমণ সমর্থকদের সদ্য-সমাপ্ত ক্রিকেট বিশ্বকাপে খারাপ প্রদর্শনের কারণে বাংলাদেশের ক্রিকেট দলের অধিনায়ক শাকিব আল হাসানকে মারধর করা হচ্ছে। ভারতে অনুষ্ঠিত ২০২৩ সালের ক্রিকেট ,0,0,4,4
boombd.com,"ঠান্ডা পানীয়তে ইবোলা ভাইরাস মেলার দাবি সম্প্রতি সোশ্যাল মিডিয়ায় ঠান্ডা পানীয়ের বোতলে ইবোলা ভাইরাস থাকার বিষয় হায়দরাবাদ পুলিশের একটি বিজ্ঞপ্তি দেখা যায়। দাবি করা হয় এই ঠান্ডা পানীয়ের বোতল যেমন মজা, থাম",0,0,4,4
boombd.com,"বাংলাদেশী মহিলা ক্রিকেটরদের বোরখা পরে মাঠে নামা ক্রিকেট মাঠে ব্যাট হাতে বোরখা পরা দুই মহিলার একটি ভুয়ো ছবি বাংলাদেশের মহিলা ক্রিকেটর দাবিতে ছড়িয়ে পড়েছে সোশ্যাল মিডিয়ায়। বর্তমানে, ভারত ও শ্রীলঙ্কায় অনু",0,0,4,4
boombd.com,"বাংলাদেশে আয়নাঘর নিয়ে হাসিনার স্বীকারোক্তি সম্প্রতি সোশ্যাল মিডিয়ায় ব্যাপকভাবে ছড়িয়ে পরা একটি ভিডিওতে বাংলাদেশের (Bangladesh) বহিষ্কৃত প্রাক্তন প্রধানমন্ত্রী শেখ হাসিনাকে ""আয়নাঘর"" তৈরি করেছেন বলে স্ব",0,0,4,4
boombd.com,"সলমনকে ‘সন্ত্রাসবাদী’ তকমা পাকিস্তানের! বালোচিস্তানকে ভিন্ন দেশ হিসেবে উল্লেখ করেছিলেন সলমন খান। ইচ্ছাকৃত ভুল, না কি অজান্তেই এমন বলেছিলেন, তা নিয়ে প্রশ্ন ওঠে। তবে সেই বেফাঁস মন্তব্যের জন্য এ বার পাকি",2,2,4,4
dhakafactcheck.com,ওসমান হাদিকে গুলি করা ঘাতকের সাথে সাদিক কায়েম ওসমান হাদিকে গুলি করা ঘাতকের কল লিস্টে সাদিক কায়েমের নাম্বার” শিরোনামে আমার দেশের ডিজাইন সংবলিত একটি ফটোকার্ড প্রচারিত হয় সামাজিক যোগাযোগ মাধ্যম ফেসবুকে।,0,0,1,1
dhakafactcheck.com,"বাংলাদেশী যুবককে মব সৃষ্টি করে পিটিয়ে হত্যা ভারত থেকে পরিচালিত রাধারাম দাস নামে একটি এক্স (সাবেক টুইটার) হ্যান্ডেল থেকে একটি পোস্টে দাবি করা হয়, বাংলাদেশের হবিগঞ্জ জেলায় কামদেব দাস নামে হিন্দু যুবককে",0,0,1,1
jachai.org,"ইথানলের ভাপ নিয়ে করোনাভাইরাসের চিকিৎসা করা যায় ইথানলের কুসুম গরম মিশ্রনে কুলকুচি করলে, ইথানল বাষ্প গলায় পৌঁছার মাধ্যমে করোনাভাইরাস মারা যায় এবং এইভাবে আক্রান্ত রোগীর চিকিৎসা করা যেতে পারে। প্রতিবেদনটি",0,0,3,3
jachai.org,ক্যান্সার বলে কোন রোগ নেই। ভিটামিন 'বি১৭'-এর অভাবই হচ্ছে ক্যান্সার। ক্যান্সার কোনো রোগ নয় বরং ব্যবসার একটি ফাঁদ! সুতরাং ক্যান্সার বলে যে রোগের কথা বলা হয় তা একটি নির্জলা মিথ্যা। ক্যান্সার হলো মূলত ভি,0,0,3,3
jachai.org,চাঁপাইনবাবগঞ্জ জেলায় তাসফিয়া নামক সাড়ে তিন বছর বয়সী শিশুর গায়ে ‘পশুর’ লোম উঠছে চাঁপাইনবাবগঞ্জে বিরল রোগে আক্রান্ত দরিদ্র পরিবারে সাড়ে তিন বছরের শিশু কন্যা তাসফিয়া জাহান মুনিরা। তার বাবা দিনমজুর ,0,0,3,3
jachai.org,"জাহান্নামের ভয় দেখিয়ে দাঁড়িপাল্লায় ভোট চাওয়া সম্প্রতি ফেসবুকে কয়েকজন নারীকে পুলিশ আটক করে নিয়ে যাওয়ার একটি ছবি ছড়িয়ে পড়ছে। ক্যাপশনে দাবি করা হচ্ছে, এই নারীরা ‘দাঁড়িপাল্লায় ভোট না দিলে জাহ",0,0,3,3
jachai.org,দ্যা স্ট্যাটিস্টিক্স ইন্টারন্যাশনালের জরিপে শেখ হাসিনাকে বিশ্বের সবচেয়ে নিকৃষ্ট শাসক হিসেবে নির্বাচিত করা হয়েছে বিশ্বের সবচেয়ে নিকৃষ্ট শাসক হিসেবে প্রথম হয়েছেন প্রধানমন্ত্রী শেখ হাসিনা। সম্প্রতি সিঙ,0,0,3,3
jachai.org,পিএসজিতে মেসির সাথে যোগ দিচ্ছেন রোনালদো ক্রিস্টিয়ানো রোনালদো তার বর্তমান ‘ইয়ুভেন্তুস ফুটবল ক্লাব’ থেকে অব্যাহতি নিয়ে ‘পারি সাঁ-জেরমাঁ ফুটবল ক্লাব’ (পিএসজি)-তে যোগদান করছেন।,0,0,3,3
jachai.org,"পুলিশ কর্মকর্তার বাড়ি থেকে পুঁতে রাখা ১০ তরুণীর লাশ উদ্ধার দেশটির অ্যাটর্নি জেনারেলের দপ্তর জানায়, ৫১ বছর বয়সি হুগো ওসোরিও চাভেজ ওসোরিও নামে ওই পুলিশ কর্মকর্তার বিরুদ্ধে ধর্ষণ ও ১৩টি খুনের মামলার তদ",3,2,3,3
jachai.org,বিসিবি না চাইলেও ‘বিদায়’ জানিয়ে দিয়েছে বাংলাদেশের ক্রিকেট টিমের সাকিব আল হাসান বাংলাদেশ ক্রিকেটের পঞ্চপাণ্ডবের মধ্যে মাঠের বাইরে আছেন মাশরাফি বিন মর্তুজা। ইনজুরির কারণে নিয়মিত মাঠে দেখা যাচ্ছে না তামি,3,3,3,3
jachai.org,"শেখ হাসিনা সরকারের সাফল্য বর্তমান সরকার ২০১৯ সালে গঠিত হলেও এসব বার্তায় ২০০৬ সাল, অর্থাৎ ১৭ বছরের পূর্বের উপাত্তের সাথে তুলনা করা হয়েছে। ২০০৬ সালে বাংলাদেশের অপর সংখ্যাগরিষ্ঠ দল বিএনপি দায়িত্ব ছাড়",2,1,3,3
jachai.org,২২ মার্চ সারাদেশের গুরুত্বপূর্ণ শহরে কোন প্রকার ব্যাগ বহন করা যাবে না আগামী ২২ মার্চ রাজধানীসহ সারাদেশের গুরুত্বপূর্ণ শহরে পিঠে ঝুলানো ব্যাগসহ সব ধরণের ব্যাগ বহন নিষিদ্ধ থাকবে। নাশকতা ঠেকাতে এ পদক্ষেপ,0,0,3,3
